date,symbol,news_count,avg_sentiment
2023-09-30,XAUUSD,0,0.000000
2023-10-01,EURUSD,1,-0.571900
2023-10-01,GBPUSD,1,-0.571900
2023-10-01,USDJPY,0,0.000000
2023-10-01,AUDUSD,2,-0.285950
2023-10-01,USDCAD,0,0.000000
2023-10-01,XAUUSD,0,0.000000
2023-10-02,EURUSD,35,-0.011040
2023-10-02,GBPUSD,21,0.240143
2023-10-02,USDJPY,16,0.249525
2023-10-02,AUDUSD,12,-0.020558
2023-10-02,USDCAD,8,0.292975
2023-10-02,XAUUSD,0,0.000000
2023-10-03,EURUSD,24,-0.039588
2023-10-03,GBPUSD,26,0.098935
2023-10-03,USDJPY,21,0.234562
2023-10-03,AUDUSD,18,0.066444
2023-10-03,USDCAD,6,0.054417
2023-10-03,XAUUSD,2,0.004100
2023-10-04,EURUSD,41,-0.022144
2023-10-04,GBPUSD,22,0.211605
2023-10-04,USDJPY,13,0.353438
